scanner_sn,ScannerName,Location
15115521402886,TC-01,113 STAIRWELL
15115521402349,TC-03,113 STAIRWELL
15115521401550,TC-05,113 STAIRWELL
15115521401812,TC-06,Sideline Scanners
15115521401603,TC-07,Sideline Scanners
15115521402974,TC-08,Sideline Scanners
15115521402842,TC-09,Sideline Scanners
15097521400918,TC-10,Sideline Scanners
15097521400919,TC-11,Sideline Scanners
15115521402975,TC-12,Sideline Scanners
15115521402888,TC-14,Sideline Scanners
15115521402962,TC-15,Sideline Scanners
15097521400958,TC-16,Sideline Scanners
15023521404940,TC-17,Sideline Scanners
15115521402977,TC-18,Sideline Scanners
15115521402858,TC-19,Sideline Scanners
15115521402961,TC-20,Sideline Scanners
15115521402979,TC-21,Sideline Scanners
15115521402978,TC-22,Sideline Scanners
15145521400665,TC-23,Sideline Scanners
15150521406243,TC-24,Sideline Scanners
15150521406274,TC-25,Sideline Scanners
15145521401477,TC-26,Sideline Scanners
15145521402149,TC-27,Sideline Scanners
15145521400847,TC-28,Sideline Scanners
15183521401613,VTX012,South Endling Club
15194521401173,VTX013,South Endling Club
15183521401678,VTX014,Guest Services Desk
15171521402238,VTX026,1st Floor Restaurant
15194521402312,VTX027,1st Floor Restaurant
15194521402032,VTX029,North Endline Club
15183521401672,VTX030,North Endline Club
15171521402238,VTX026,1st Floor Restaurant
15183521401672,VTX030,North Endline Club
15183521401613,VTX012,South Endling Club
15194521401173,VTX013,South Endling Club
15194521402032,VTX029,North Endline Club
12214521403090,WEST05,109 STAIRWELL
15194521402312,VTX027,1st Floor Restaurant
15183521401678,VTX014,Guest Services Desk
12214521402205,WEST03,109 STAIRWELL
